"x" "y"
"1" -112.083333333333 34.5833333333333
"2" -103.25 20.75
"3" -99.25 19.25
"4" -104.75 26.5833333333333
"5" -100.083333333333 23.9166666666667
"6" -98.5833333333333 23.75
"7" -97.25 19.0833333333333
"8" -108.583333333333 32.5833333333333
"9" -120.416666666667 36.0833333333333
"10" -117.583333333333 33.75
"11" -115.916666666667 32.9166666666667
"12" -104.416666666667 30.25
"13" -117.25 35.0833333333333
"14" -106.583333333333 27.4166666666667
"15" -113.083333333333 31.9166666666667
"16" -109.416666666667 35.0833333333333
"17" -102.75 23.4166666666667
"18" -106.416666666667 28.25
"19" -114.416666666667 33.0833333333333
"20" -118.916666666667 35.5833333333333
"21" -102.916666666667 20.4166666666667
"22" -102.916666666667 27.25
"23" -102.083333333333 24.0833333333333
"24" -101.25 27.25
"25" -100.083333333333 29.5833333333333
"26" -100.75 22.5833333333333
"27" -99.25 19.75
"28" -115.583333333333 33.25
"29" -113.25 33.0833333333333
"30" -103.583333333333 22.0833333333333
"31" -99.0833333333333 23.5833333333333
"32" -98.9166666666667 23.4166666666667
"33" -103.416666666667 22.0833333333333
"34" -102.916666666667 21.25
"35" -98.75 18.0833333333333
"36" -110.583333333333 35.4166666666667
"37" -99.9166666666667 19.5833333333333
"38" -102.25 27.25
"39" -111.583333333333 35.9166666666667
"40" -104.916666666667 26.75
"41" -103.916666666667 30.75
"42" -109.25 31.75
"43" -109.25 34.75
"44" -98.9166666666667 19.25
"45" -103.083333333333 20.9166666666667
"46" -115.25 33.9166666666667
"47" -111.083333333333 31.0833333333333
"48" -119.75 34.4166666666667
"49" -100.916666666667 27.9166666666667
"50" -100.25 24.5833333333333
"51" -115.416666666667 30.9166666666667
"52" -104.083333333333 28.5833333333333
"53" -105.083333333333 28.5833333333333
"54" -106.083333333333 23.75
"55" -110.583333333333 32.9166666666667
"56" -106.416666666667 25.0833333333333
"57" -104.25 23.25
"58" -107.083333333333 32.0833333333333
"59" -100.416666666667 27.5833333333333
"60" -110.25 30.4166666666667
"61" -100.916666666667 27.75
"62" -119.083333333333 36.0833333333333
"63" -117.75 36.0833333333333
"64" -97.5833333333333 20.0833333333333
"65" -97.4166666666667 17.0833333333333
"66" -102.416666666667 24.75
"67" -111.25 34.0833333333333
"68" -116.75 31.75
"69" -107.083333333333 28.4166666666667
"70" -115.416666666667 33.75
"71" -113.083333333333 31.25
"72" -102.75 21.9166666666667
"73" -103.25 21.75
"74" -102.25 21.75
"75" -113.583333333333 32.4166666666667
"76" -106.916666666667 25.75
"77" -109.583333333333 31.0833333333333
"78" -99.25 18.75
"79" -99.9166666666667 25.9166666666667
"80" -98.5833333333333 19.25
"81" -113.583333333333 32.75
"82" -106.583333333333 27.4166666666667
"83" -101.416666666667 28.0833333333333
"84" -99.25 21.4166666666667
"85" -100.416666666667 29.0833333333333
"86" -100.583333333333 25.9166666666667
"87" -114.083333333333 35.75
"88" -98.75 20.75
"89" -100.25 24.9166666666667
"90" -112.75 33.9166666666667
"91" -112.25 32.5833333333333
"92" -99.0833333333333 23.4166666666667
"93" -120.25 34.9166666666667
"94" -105.083333333333 24.4166666666667
"95" -96.4166666666667 19.0833333333333
"96" -99.0833333333333 20.25
"97" -102.916666666667 30.5833333333333
"98" -100.75 19.75
"99" -102.083333333333 24.9166666666667
"100" -115.25 32.4166666666667
"101" -102.75 25.9166666666667
"102" -99.5833333333333 20.25
"103" -116.416666666667 32.4166666666667
"104" -104.916666666667 30.75
"105" -112.25 35.25
"106" -104.916666666667 31.0833333333333
"107" -110.583333333333 32.5833333333333
"108" -104.916666666667 24.4166666666667
"109" -100.25 27.25
"110" -104.916666666667 26.0833333333333
